fileID,f1,f2,vot,notes
bi03_kaka,1080.66,1897.70,17.66,
bi03_kaka1,835.94,1494.76,29.19,
bi03_kaka2,830.86,1654.25,24.02,
bi03_keke,829.42,2389.45,21.15,
bi03_keke1,525.70,2278.87,22.24,
bi03_keke2,501.47,2508.73,19.76,
bi03_kiki,402.12,2667.39,34.50,
bi03_kiki1,349.98,2707.35,22.22,
bi03_kiki2,348.24,2678.37,24.88,
bi03_koko,554.36,836.34,24.80,
bi03_koko1,557.17,900.01,27.26,
bi03_koko2,779.60,1144.15,29.50,
bi03_kuku,396.56,757.97,22.33,
bi03_kuku1,255.95,1684.42,25.89,
bi03_kuku2,412.72,830.63,34.26,
bi03_paka,1135.79,1701.88,8.39,
bi03_paka1,748.14,1624.26,9.52,
bi03_paka2,635.77,1781.23,10.49,
bi03_peke,415.77,1794.11,6.87,
bi03_peke1,555.14,2331.23,9.93,
bi03_peke2,955.09,2429.44,13.97,
bi03_piki,361.58,2678.12,14.49,
bi03_piki1,325.36,2822.73,10.01,
bi03_piki2,1296.44,2578.28,9.83,
bi03_poko,532.71,887.92,21.78,
bi03_poko1,622.87,1878.29,14.17,
bi03_poko2,515.53,870.17,15.30,
bi03_puku,472.61,573.30,18.75,
bi03_puku1,672.13,1693.50,29.18,
bi03_puku2,421.64,814.65,13.20,
bi03_taka,767.64,1639.70,12.80,
bi03_taka1,824.40,1646.02,13.74,
bi03_taka2,858.92,1540.01,10.38,
bi03_teke,458.81,2349.56,11.87,
bi03_teke1,454.55,2399.07,11.49,
bi03_teke2,430.04,2442.07,12.53,
bi03_tiki,356.87,2505.49,14.80,
bi03_tiki1,891.28,2234.39,11.59,
bi03_tiki2,428.50,1876.79,16.58,
bi03_toko,793.49,992.90,14.53,
bi03_toko1,750.04,1147.91,10.34,
bi03_toko2,775.48,1080.84,9.73,
bi03_tuku,654.73,788.70,15.47,
bi03_tuku1,395.69,725.17,10.32,
bi03_tuku2,397.77,742.35,11.04,
