fileID,f1,f2,vot,notes
ne01_kaka,861.66,1649.62,8.45,
ne01_kaka1,947.92,1776.01,23.65,
ne01_kaka2,1061.99,1779.33,29.15,
ne01_keke,471.46,2486.87,38.67,
ne01_keke1,604.00,2466.05,28.60,
ne01_keke2,491.22,2654.02,25.45,
ne01_kiki,342.68,2845.07,42.69,
ne01_kiki1,965.46,2272.47,53.28,
ne01_kiki2,438.63,2781.29,44.55,
ne01_koko,666.40,1082.77,49.02,
ne01_koko1,576.86,1061.60,26.25,
ne01_koko2,650.12,1103.10,38.01,
ne01_kuku,489.18,1105.81,59.66,
ne01_kuku1,443.02,1010.11,60.03,
ne01_kuku2,1085.16,2127.64,64.10,
ne01_paka,758.17,1497.51,17.14,
ne01_paka1,797.97,1526.90,6.83,
ne01_paka2,843.67,1644.15,31.28,
ne01_peke,385.86,2674.60,8.27,
ne01_peke1,382.28,2669.38,11.74,
ne01_peke2,546.62,2518.56,7.91,
ne01_piki,399.92,2855.94,10.87,
ne01_piki1,419.99,2837.68,8.31,
ne01_piki2,372.16,2930.13,6.05,
ne01_poko,516.36,1082.78,28.65,
ne01_poko1,578.42,1155.90,22.05,
ne01_poko2,509.62,1056.73,15.45,
ne01_puku,423.24,1061.50,24.91,
ne01_puku1,449.75,1060.53,51.63,
ne01_puku2,438.49,1011.84,59.93,
ne01_taka,885.02,1701.78,16.58,
ne01_taka1,1208.48,1782.55,17.06,
ne01_taka2,924.47,1740.90,8.96,
ne01_teke,514.41,2477.87,19.19,
ne01_teke1,550.62,2476.03,15.47,
ne01_teke2,799.40,2501.39,11.55,
ne01_tiki,372.15,2878.39,23.80,
ne01_tiki1,383.00,2835.34,28.17,
ne01_tiki2,362.50,3005.71,33.46,
ne01_toko,578.55,978.68,33.35,
ne01_toko1,438.10,1086.00,28.80,
ne01_toko2,560.07,1064.47,17.59,
ne01_tuku,422.96,1064.09,42.41,
ne01_tuku1,414.22,1071.82,29.14,
ne01_tuku2,1052.15,1633.72,41.22,
